SurveyID,DateSurvey,TimeSurvey,Drone,Temp,Humidity,Sun_Elev_calc,Wind_Av,Wind_Max,Wind_SD,Sky_Code,Sky_Code_Sup,Sun_Code,Sun_Percent,Shadow_Code,Shutter,ISO,Aperture,Notes_from_processing_and_review,Point_cloud_quality,GCP_Error_X,GCP_Error_Y,GCP_Error_Z,Survey_Notes
S01,10/08/2021,09:15:00,DJI P4 RTK,17.5,82.09,29.81,0.92,3.1,0.54,6,5,0,10,0,,,,,,,,,
S02,10/08/2021,11:15:00,DJI P4 RTK,18,78.12,46.55,0.72,2,0.53,7,,0,0,0,,,,,,,,,
S03,10/08/2021,13:15:00,DJI P4 RTK,20.2,68.7,54.65,1.16,2.9,0.58,6,5,0,11,0,,,,,,,,,
S04,10/08/2021,15:15:00,DJI P4 RTK,20.5,65.06,47.9,1.08,3,0.6,6,5,0,12,0,,,,,,,,,
S05,10/08/2021,17:15:00,DJI P4 RTK,20.5,66.7,31.65,1,3.4,0.53,6,5,1,23,0,,,,,,,,,
S06,11/08/2021,09:30:00,DJI P4 RTK,16.3,86.9,31.75,1.97,3.7,0.73,7,,0,0,0,,,,,,,,,
S07,11/08/2021,11:30:00,DJI P4 RTK,17.5,79.5,47.86,2.48,4.7,0.82,7,,0,0,0,,,,,,,,,
S08,13/08/2021,09:10,DJI P4 RTK,16.14,86.21,28.28,1.46,4.2,0.69,7,,0,0,0,,,,,,,,,
S09,13/08/2021,11:18,DJI P4 RTK,17.98,81.09,46.04,1.76,3.5,0.73,7,,0,0,0,,,,,,,,,
S10,13/08/2021,13:16,DJI P4 RTK,19.6,70.31,53.75,1.78,4.1,0.76,6,5,0,5,0,,,,,,,,,
S11,13/08/2021,15:20,DJI P4 RTK,22.1,61.82,46.6,2.22,4.1,0.72,5,,3,100,2,,,,,,,,,
S12,13/08/2021,17:07,DJI P4 RTK,20.64,62.33,28.26,1.64,3.7,0.62,6,5,1,40,2,,,,,,,,,
S13,14/08/2021,09:50,DJI P4 RTK,17.33,86.41,34.12,1.96,3.4,0.67,7,,0,0,0,,,,,,,,,
S14,14/08/2021,11:24,DJI P4 RTK,20.12,77.61,46.46,2.09,4.8,0.89,6,5,0,3,0,,,,,,,,,
S15,14/08/2021,13:18,DJI P4 RTK,21.17,72.8,53.45,2.54,5.2,0.87,5,6,2,66,2,,,,,,,,,
S16,14/08/2021,15:16,DJI P4 RTK,20.77,72.51,46.74,2.23,4.9,0.88,6,5,1,40,2,,,,,,,,,
S17,14/08/2021,17:11,DJI P4 RTK,18.52,76.81,31.36,2.51,4.5,0.82,6,5,1,28,2,,,,,,,,,
S18,18/08/2021,10:28,DJI P4 RTK,16.35,84.56,38.58,1.02,3.4,0.57,7,,0,0,0,,,,,,,,,
S19,18/08/2021,12:05,DJI P4 RTK,17.01,78.7,49.19,0.84,2.1,0.46,7,,0,0,0,,,,,,,,,
S20,18/08/2021,13:20,DJI P4 RTK,16.95,76.32,52.19,1.02,2.8,0.56,7,,0,0,0,,,,,,,,,
S21,18/08/2021,14:42,DJI P4 RTK,15.3,80.73,48.71,1.17,3.8,0.68,7,,0,0,0,,,,,,,,,
S22,18/08/2021,16:16,DJI P4 RTK,14.43,81.81,38.16,1.15,3.4,0.57,7,,0,0,0,,,,,,,,,
S23,20/08/2021,10:21,DJI P4 RTK,18.27,88.98,39.2,1.7,3.3,0.57,7,,0,0,0,1000,400,2.8,,,,,,
S24,20/08/2021,11:58,DJI P4 RTK,20.04,80.33,49.04,2.26,4.5,0.76,7,,0,1,0,1000,200,2.8,,,,,,
S25,20/08/2021,13:09,DJI P4 RTK,18.4,86.3,51.52,1.67,3,0.59,7,,0,0,0,1000,400,2.8,,,,,,
S26,20/08/2021,15:15,DJI P4 RTK,19.09,79.67,43.33,1.89,4.1,0.73,7,,0,0,0,1000,400,2.8,,,,,,
S27,20/08/2021,16:25,DJI P4 RTK,18.77,81.31,34.35,1.74,4.3,0.73,7,,0,0,0,1000,400,2.8,,,,,,
S28,20/08/2021,17:45,DJI P4 RTK,17.4,85.07,22.27,1.46,3.1,0.59,7,,0,0,0,800,800,2.8,,,,,,
S29,22/08/2021,10:00,DJI P4 RTK,19.54,73.63,35.57,1.04,3.2,0.61,6,5,1,46,2,1000,200,2.8,,,,,,
S30,22/08/2021,11:45,DJI P4 RTK,18.53,69.89,47.47,1.06,2.7,0.57,6,5,0,2,0,1000,400,2.8,,,,,,
S31,22/08/2021,13:20,DJI P4 RTK,19.82,67.22,50.86,1.11,3.3,0.54,6,5,0,8,0,1000,200,2.8,,,,,,
S32,24/08/2021,09:18,DJI P4 RTK,15.9,79.49,29.2,0.39,1.8,0.38,6,,0,3,0,1000,400,2.8,,,,,,
S33,24/08/2021,10:28,DJI P4 RTK,18.25,70.97,38.91,1.02,2.1,0.4,0,4,3,100,2,1000,200,2.8,,,,,,
S34,24/08/2021,11:45,DJI P4 RTK,20.81,61.84,46.95,1.11,3.7,0.65,0,4,3,100,2,1000,100,2.8,,,,,,
S35,24/08/2021,13:05,DJI P4 RTK,24.59,52.55,50.19,0.83,2.1,0.46,4,,3,99,2,1000,100,2.8,,,,,,
S36,24/08/2021,14:58,DJI P4 RTK,25.97,49.11,43.96,0.74,1.9,0.42,4,,3,95,2,1000,100,2.8,,,,,,
S37,24/08/2021,16:26,DJI P4 RTK,22.97,54.36,32.97,0.58,1.8,0.42,6,5,1,40,2,1000,400,2.8,,,,,,
S38,24/08/2021,17:49,DJI P4 RTK,24.81,50.16,20.28,0.43,1.7,0.4,4,5,3,87,2,1000,200,2.8,,,,,,
S39,27/08/2021,09:22,DJI P4 RTK,17.63,74.45,29.23,0.76,1.8,0.33,0,,3,100,2,1000,200,2.8,,,,,,
S40,27/08/2021,10:27,DJI P4 RTK,18.22,69.36,38,0.76,1.8,0.39,0,,3,100,2,1000,200,2.8,,,,,,
S41,27/08/2021,11:27,DJI P4 RTK,21.17,58.15,44.44,0.71,1.9,0.47,4,5,3,82,2,1000,100,2.8,,,,,,
S42,27/08/2021,12:20,DJI P4 RTK,23.09,52.26,47.86,0.55,1.5,0.34,4,5,3,91,2,1000,100,2.8,,,,,,
S43,27/08/2021,13:09,DJI P4 RTK,23.2,51.89,48.87,0.72,2.2,0.45,4,5,3,94,2,1000,100,2.8,,,,,,
S44,27/08/2021,15:22,DJI P4 RTK,22.7,52.9,40.33,0.88,2.8,0.48,4,,3,100,2,1000,100,2.8,,,,,,
S45,27/08/2021,16:23,DJI P4 RTK,24.01,48.4,32.51,0.69,1.9,0.4,4,,3,100,2,1000,100,2.8,,,,,,
S46,01/09/2021,09:28,DJI P4 RTK,15.17,77.83,28.66,0.52,1.4,0.34,7,,0,0,0,800,400,2.8,,,,,,
S47,01/09/2021,10:44,DJI P4 RTK,17.02,70.74,38.5,0.61,2.1,0.43,7,,0,0,0,1000,400,2.8,,,,,,
S48,01/09/2021,12:09,DJI P4 RTK,18.21,65.92,45.7,0.69,1.7,0.37,7,,0,0,0,1000,400,2.8,,,,,,
S49,01/09/2021,13:04,DJI P4 RTK,17.7,68.67,47.36,0.82,1.9,0.39,7,,0,0,0,1000,400,2.8,,,,,,
S50,05/09/2021,11:42,DJI P4 RTK,24.93,65.52,42.91,0.39,1.4,0.39,4,2,3,100,2,1000,100,2.8,,,,,,
S51,05/09/2021,13:04,DJI P4 RTK,27.85,60.4,45.88,0.52,2,0.4,4,,3,100,2,1000,100,2.8,,,,,,
S52,05/09/2021,15:10,DJI P4 RTK,27.2,62.32,37.65,0.4,1.2,0.36,4,5,3,90,2,1000,100,2.8,,,,,,
S53,05/09/2021,16:18,DJI P4 RTK,26.58,61.46,30.02,0.58,1.4,0.42,4,5,3,100,2,1000,200,2.8,,,,,,
S54,07/09/2021,09:18,DJI P4 RTK,27.18,55.99,25.79,0.67,2.1,0.48,0,,3,100,2,1000,200,2.8,,,,,,
S55,07/09/2021,09:49,DJI P4 RTK,29.55,51.06,30.78,0.72,1.9,0.37,0,,3,100,2,1000,200,2.8,,,,,,
S56,07/09/2021,10:56,DJI P4 RTK,28.07,57.75,38.19,0.58,1.4,0.4,0,,3,100,2,1000,200,2.8,,,,,,
S57,07/09/2021,13:04,DJI P4 RTK,28.02,50.33,45.14,1.34,4.5,0.89,0,,3,100,2,1000,100,2.8,,,,,,
S58,07/09/2021,14:38,DJI P4 RTK,26.9,45.39,40.84,1.41,3.7,0.75,0,,3,100,2,1000,100,2.8,,,,,,
S59,07/09/2021,15:40,DJI P4 RTK,27.55,41.31,34.48,1.28,4.4,0.82,0,,3,100,2,1000,200,2.8,,,,,,
S60,07/09/2021,16:22,DJI P4 RTK,27.82,41.13,28.61,1.09,4,0.74,4,2,3,100,2,1000,200,2.8,,,,,,
S61,07/09/2021,17:02,DJI P4 RTK,25.49,46,22.71,1.13,4.2,0.74,2,,3,98,2,1000,400,2.8,,,,,,
